kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
537357,Kounice,1041,738,734,104,"0,00",47,7,118,39,0,0,"0,00","6,40",0,"0,00",52,"7,08",4,"0,54","0,95",9,"1,22",0,"0,00",1,"0,13","16,07"
534943,Kouty,233,172,170,12,"0,00",11,1,17,18,0,2,"1,17","6,47",0,"0,00",10,"5,88",5,"2,94","0,58",3,"1,76",0,"0,00",1,"0,58","10,00"
537373,Kovanice,673,418,418,42,"0,00",21,8,48,32,0,0,"0,00","5,02",0,"0,00",32,"7,65",12,"2,87","1,91",4,"0,95",0,"0,00",0,"0,00","11,48"
537390,Krchleby,597,353,352,23,"0,56",26,6,24,41,2,1,"0,28","7,38",0,"0,00",17,"4,82",7,"1,98","1,70",2,"0,56",0,"0,00",0,"0,00","6,81"
537403,Křečkov,310,206,206,20,"0,00",22,2,26,14,0,0,"0,00","10,67",0,"0,00",23,"11,16",0,"0,00","0,97",4,"1,94",0,"0,00",0,"0,00","12,62"
537411,Křinec,1047,639,637,48,"0,00",48,8,45,69,0,0,"0,00","7,53",3,"0,47",26,"4,08",6,"0,94","1,25",8,"1,25",0,"0,00",1,"0,15","7,06"
537438,Libice nad Cidlinou,1045,630,627,63,"0,00",54,5,59,38,0,2,"0,31","8,61",0,"0,00",54,"8,61",9,"1,43","0,79",6,"0,95",0,"0,00",0,"0,00","9,40"
537446,Loučeň,1081,731,724,87,"0,00",49,5,109,52,0,0,"0,00","6,76",1,"0,13",52,"7,18",4,"0,55","0,69",9,"1,24",0,"0,00",1,"0,13","15,05"
537454,Lysá nad Labem,7266,4703,4673,613,"0,14",338,27,666,305,7,3,"0,06","7,23",6,"0,12",307,"6,56",64,"1,36","0,57",69,"1,47",6,"0,12",4,"0,08","14,25"
537462,Mcely,306,193,193,16,"0,51",11,3,18,10,1,0,"0,00","5,69",0,"0,00",18,"9,32",2,"1,03","1,55",2,"1,03",0,"0,00",0,"0,00","9,32"
537489,Městec Králové,2375,1315,1310,151,"0,22",91,17,125,95,3,0,"0,00","6,94",0,"0,00",89,"6,79",14,"1,06","1,29",9,"0,68",0,"0,00",2,"0,15","9,54"
537497,Milčice,242,136,134,18,"0,00",7,4,20,14,0,0,"0,00","5,22",0,"0,00",16,"11,94",0,"0,00","2,98",1,"0,74",1,"0,74",0,"0,00","14,92"
537501,Milovice,7448,3670,3649,403,"0,24",254,38,438,228,9,3,"0,08","6,96",0,"0,00",198,"5,42",79,"2,16","1,04",86,"2,35",7,"0,19",6,"0,16","12,00"
534919,Netřebice,175,106,106,9,"0,00",9,0,10,13,0,0,"0,00","8,49",0,"0,00",11,"10,37",0,"0,00","0,00",2,"1,88",0,"0,00",0,"0,00","9,43"
599654,Nový Dvůr,60,41,41,3,"0,00",3,0,1,1,0,0,"0,00","7,31",0,"0,00",1,"2,43",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","2,43"
537004,Nymburk,11746,7160,7103,831,"0,07",572,66,811,511,5,1,"0,01","8,05",9,"0,12",524,"7,37",108,"1,52","0,92",111,"1,56",1,"0,01",16,"0,22","11,41"
537551,Odřepsy,274,172,171,20,"0,58",10,3,12,20,1,1,"0,58","5,84",0,"0,00",8,"4,67",1,"0,58","1,75",1,"0,58",0,"0,00",0,"0,00","7,01"
537560,Okřínek,153,102,99,8,"0,00",5,1,10,8,0,0,"0,00","5,05",0,"0,00",1,"1,01",0,"0,00","1,01",1,"1,01",0,"0,00",0,"0,00","10,10"
537578,Opočnice,378,235,235,18,"0,00",32,2,21,16,0,0,"0,00","13,61",0,"0,00",16,"6,80",1,"0,42","0,85",1,"0,42",0,"0,00",5,"2,12","8,93"
537586,Opolany,718,461,460,46,"0,00",34,7,47,35,0,0,"0,00","7,39",0,"0,00",44,"9,56",2,"0,43","1,52",5,"1,08",1,"0,21",0,"0,00","10,21"
599662,Oseček,133,89,87,12,"1,14",9,0,2,1,1,0,"0,00","10,34",0,"0,00",13,"14,94",2,"2,29","0,00",1,"1,14",0,"0,00",0,"0,00","2,29"
537616,Oskořínek,448,287,287,21,"0,00",34,1,20,26,0,1,"0,34","11,84",0,"0,00",10,"3,48",1,"0,34","0,34",1,"0,34",0,"0,00",1,"0,34","6,96"
537624,Ostrá,433,302,300,54,"0,00",18,3,32,12,0,0,"0,00","6,00",0,"0,00",33,"11,00",11,"3,66","1,00",1,"0,33",0,"0,00",2,"0,66","10,66"
537632,Pátek,546,391,387,54,"0,00",13,1,52,15,0,0,"0,00","3,35",0,"0,00",43,"11,11",3,"0,77","0,25",9,"2,32",1,"0,25",1,"0,25","13,43"
537659,Písková Lhota,386,242,241,34,"0,00",20,2,23,28,0,0,"0,00","8,29",0,"0,00",20,"8,29",2,"0,82","0,82",0,"0,00",0,"0,00",0,"0,00","9,54"
537667,Písty,345,243,241,19,"0,82",21,0,14,19,2,0,"0,00","8,71",0,"0,00",24,"9,95",1,"0,41","0,00",7,"2,90",1,"0,41",0,"0,00","5,80"
537683,Poděbrady,11186,7570,7525,1180,"0,18",673,41,888,360,14,4,"0,05","8,94",8,"0,10",720,"9,56",91,"1,20","0,54",91,"1,20",5,"0,06",8,"0,10","11,80"
599590,Podmoky,166,98,98,11,"0,00",6,2,11,6,0,0,"0,00","6,12",1,"1,02",7,"7,14",0,"0,00","2,04",2,"2,04",0,"0,00",0,"0,00","11,22"
537721,Přerov nad Labem,915,612,608,94,"0,49",29,5,98,51,3,0,"0,00","4,76",1,"0,16",34,"5,59",7,"1,15","0,82",7,"1,15",1,"0,16",2,"0,32","16,11"
537756,Rožďalovice,1371,713,709,75,"0,00",54,5,58,57,0,0,"0,00","7,61",1,"0,14",30,"4,23",12,"1,69","0,70",10,"1,41",0,"0,00",1,"0,14","8,18"
537764,Sadská,2595,1646,1630,213,"0,30",86,12,158,139,5,0,"0,00","5,27",0,"0,00",108,"6,62",25,"1,53","0,73",18,"1,10",4,"0,24",2,"0,12","9,69"
537772,Sány,431,256,255,22,"0,00",11,2,18,19,0,0,"0,00","4,31",0,"0,00",47,"18,43",1,"0,39","0,78",8,"3,13",0,"0,00",0,"0,00","7,05"
534757,Seletice,173,120,118,12,"0,00",11,2,8,8,0,0,"0,00","9,32",0,"0,00",11,"9,32",2,"1,69","1,69",0,"0,00",0,"0,00",0,"0,00","6,77"
537781,Semice,761,452,444,62,"0,00",28,7,49,32,0,0,"0,00","6,30",0,"0,00",38,"8,55",0,"0,00","1,57",6,"1,35",1,"0,22",3,"0,67","11,03"
537799,Senice,165,117,117,13,"0,00",4,0,4,13,0,0,"0,00","3,41",0,"0,00",11,"9,40",0,"0,00","0,00",2,"1,70",0,"0,00",0,"0,00","3,41"
537802,Sloveč,426,256,252,23,"0,39",20,1,20,29,1,0,"0,00","7,93",0,"0,00",18,"7,14",4,"1,58","0,39",4,"1,58",0,"0,00",0,"0,00","7,93"
537811,Sokoleč,784,513,511,71,"0,39",50,3,43,41,2,0,"0,00","9,78",0,"0,00",31,"6,06",6,"1,17","0,58",11,"2,15",0,"0,00",0,"0,00","8,41"
