kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti
Kraj,Olomoucký kraj,126,74,73,3,"0,00",7,"0,00",0,7
Kraj,Olomoucký kraj,345,222,220,3,"0,45",20,"0,45",0,25
Kraj,Olomoucký kraj,499,360,356,18,"0,00",41,"0,84",0,25
Kraj,Olomoucký kraj,204,110,109,6,"0,00",9,"1,83",0,14
Kraj,Olomoucký kraj,393,215,215,6,"0,46",32,"2,32",0,15
Kraj,Olomoucký kraj,252,152,152,9,"0,00",9,"0,65",0,22
Kraj,Olomoucký kraj,1101,613,611,68,"0,00",35,"2,94",0,69
Kraj,Olomoucký kraj,354,204,204,11,"0,00",33,"0,49",0,19
Kraj,Olomoucký kraj,404,254,250,17,"0,00",11,"1,60",0,24
Kraj,Olomoucký kraj,109,80,80,3,"0,00",5,"1,25",0,5
Kraj,Olomoucký kraj,146,84,84,6,"1,19",5,"0,00",0,5
Kraj,Olomoucký kraj,492,321,318,23,"0,31",17,"0,31",0,22
Kraj,Olomoucký kraj,1306,863,857,68,"0,11",60,"0,81",0,85
Kraj,Olomoucký kraj,478,282,275,17,"0,00",20,"1,09",0,31
Kraj,Olomoucký kraj,419,281,280,15,"0,00",16,"1,07",0,41
Kraj,Olomoucký kraj,399,266,263,28,"0,00",25,"1,14",0,25
Kraj,Olomoucký kraj,282,196,194,6,"0,00",21,"0,51",0,16
Kraj,Olomoucký kraj,436,278,278,21,"0,00",15,"1,07",0,49
